¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(∑›),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),µ•Œªæª÷µ(‘™),¿€º∆æª÷µ(‘™),
150076.SZ,’„…ÃŒ»Ω°,2012-07-13,--,0.911,0.911,0.911,0.911,345800,315023.8,--,--,0.911,1.1772,1.012,1.012,
150076.SZ,’„…ÃŒ»Ω°,2012-07-16,0.911,0.922,0.941,0.833,0.856,5894200,4990358.1,-0.055,-6.0373,0.8467,20.997,1.013,1.013,
150076.SZ,’„…ÃŒ»Ω°,2012-07-17,0.856,0.855,0.855,0.839,0.841,321300,270686.1,-0.015,-1.7523,0.8425,1.1436,1.013,1.013,
150076.SZ,’„…ÃŒ»Ω°,2012-07-18,0.841,0.835,0.846,0.823,0.84,328500,275496.2,-0.001,-0.1189,0.8386,1.2998,1.013,1.013,
150076.SZ,’„…ÃŒ»Ω°,2012-07-19,0.84,0.84,0.847,0.84,0.845,191800,161961.9,0.005,0.5952,0.8444,0.7523,1.013,1.013,
150076.SZ,’„…ÃŒ»Ω°,2012-07-20,0.845,0.842,0.846,0.84,0.846,91200,76792.4,0.001,0.1183,0.842,0.3656,1.013,1.013,
150076.SZ,’„…ÃŒ»Ω°,2012-07-23,0.846,0.838,0.851,0.838,0.846,184605,155689.6,0,0,0.8434,0.7405,1.014,1.014,
150076.SZ,’„…ÃŒ»Ω°,2012-07-24,0.846,0.849,0.849,0.839,0.846,7800,6586.8,0,0,0.8445,0.0313,1.014,1.014,
150076.SZ,’„…ÃŒ»Ω°,2012-07-25,0.846,0.841,0.845,0.839,0.845,150700,126817.1,-0.001,-0.1182,0.8415,0.5981,1.014,1.014,
150076.SZ,’„…ÃŒ»Ω°,2012-07-26,0.845,0.845,0.856,0.838,0.84,116500,98461.7,-0.005,-0.5917,0.8452,0.4682,1.014,1.014,
150076.SZ,’„…ÃŒ»Ω°,2012-07-27,0.84,0.857,0.857,0.837,0.84,96100,80583.9,0,0,0.8385,0.3863,1.015,1.015,
150076.SZ,’„…ÃŒ»Ω°,2012-07-30,0.84,0.846,0.846,0.84,0.844,35200,29680,0.004,0.4762,0.8432,0.1415,1.015,1.015,
150076.SZ,’„…ÃŒ»Ω°,2012-07-31,0.844,0.851,0.851,0.831,0.847,6500,5451.8,0.003,0.3555,0.8387,0.0262,1.015,1.015,
150076.SZ,’„…ÃŒ»Ω°,2012-08-01,0.847,0.848,0.848,0.839,0.845,182700,154421.3,-0.002,-0.2361,0.8452,0.7365,1.015,1.015,
150076.SZ,’„…ÃŒ»Ω°,2012-08-02,0.845,0.838,0.855,0.838,0.85,195300,165455.5,0.005,0.5917,0.8472,0.7879,1.016,1.016,
150076.SZ,’„…ÃŒ»Ω°,2012-08-03,0.85,0.85,0.85,0.838,0.848,226450,191740,-0.002,-0.2353,0.8467,0.9161,1.016,1.016,
150076.SZ,’„…ÃŒ»Ω°,2012-08-06,0.848,0.847,0.847,0.835,0.846,64801,54309.2,-0.002,-0.2358,0.8381,0.2617,1.016,1.016,
150076.SZ,’„…ÃŒ»Ω°,2012-08-07,0.846,0.836,0.844,0.836,0.844,289305,242450.7,-0.002,-0.2364,0.838,1.1693,1.017,1.017,
150076.SZ,’„…ÃŒ»Ω°,2012-08-08,0.844,0.836,0.844,0.836,0.836,78400,66102.4,-0.008,-0.9479,0.8431,0.3171,1.017,1.017,
150076.SZ,’„…ÃŒ»Ω°,2012-08-09,0.836,0.832,0.842,0.831,0.836,511100,427381,0,0,0.8362,2.0782,1.017,1.017,
150076.SZ,’„…ÃŒ»Ω°,2012-08-10,0.836,0.848,0.848,0.836,0.837,195901,165083.6,0.001,0.1196,0.8427,1.0001,1.017,1.017,
150076.SZ,’„…ÃŒ»Ω°,2012-08-13,0.837,0.839,0.842,0.839,0.84,152552,128235.1,0.003,0.3584,0.8406,0.7933,1.018,1.018,
150076.SZ,’„…ÃŒ»Ω°,2012-08-14,0.84,0.838,0.847,0.838,0.846,7300,6160.4,0.006,0.7143,0.8439,0.0383,1.018,1.018,
150076.SZ,’„…ÃŒ»Ω°,2012-08-15,0.846,0.846,0.846,0.841,0.841,20100,16907.1,-0.005,-0.591,0.8411,0.106,1.018,1.018,
150076.SZ,’„…ÃŒ»Ω°,2012-08-16,0.841,0.841,0.843,0.837,0.842,153950,129309.1,0.001,0.1189,0.8399,0.8137,1.018,1.018,
150076.SZ,’„…ÃŒ»Ω°,2012-08-17,0.842,0.849,0.849,0.838,0.839,109805,92273.1,-0.003,-0.3563,0.8403,0.5813,1.018,1.018,
150076.SZ,’„…ÃŒ»Ω°,2012-08-20,0.839,0.84,0.845,0.839,0.844,79400,66757.6,0.005,0.5959,0.8408,0.4212,1.019,1.019,
150076.SZ,’„…ÃŒ»Ω°,2012-08-21,0.844,0.848,0.848,0.841,0.841,28400,23896.9,-0.003,-0.3555,0.8414,0.1506,1.019,1.019,
150076.SZ,’„…ÃŒ»Ω°,2012-08-22,0.841,0.842,0.842,0.84,0.84,108000,90820,-0.001,-0.1189,0.8409,0.5732,1.019,1.019,
150076.SZ,’„…ÃŒ»Ω°,2012-08-23,0.84,0.842,0.847,0.842,0.847,171900,145370.6,0.007,0.8333,0.8457,0.9133,1.019,1.019,
150076.SZ,’„…ÃŒ»Ω°,2012-08-24,0.847,0.845,0.851,0.844,0.851,59100,50124.2,0.004,0.4723,0.8481,0.314,1.02,1.02,
150076.SZ,’„…ÃŒ»Ω°,2012-08-27,0.851,0.852,0.865,0.846,0.858,194500,166773.5,0.007,0.8226,0.8574,1.0561,1.02,1.02,
150076.SZ,’„…ÃŒ»Ω°,2012-08-28,0.858,0.868,0.868,0.857,0.862,207699,178910.6,0.004,0.4662,0.8614,1.1259,1.02,1.02,
150076.SZ,’„…ÃŒ»Ω°,2012-08-29,0.862,0.868,0.868,0.862,0.863,32200,27817.1,0.001,0.116,0.8639,0.1748,1.02,1.02,
150076.SZ,’„…ÃŒ»Ω°,2012-08-30,0.863,0.878,0.878,0.85,0.866,5000,4327.4,0.003,0.3476,0.8655,0.0272,1.021,1.021,
150076.SZ,’„…ÃŒ»Ω°,2012-08-31,0.866,0.876,0.876,0.85,0.854,11900,10214.2,-0.012,-1.3857,0.8583,0.0647,1.021,1.021,
150076.SZ,’„…ÃŒ»Ω°,2012-09-03,0.854,0.87,0.87,0.855,0.866,4400,3771.8,0.012,1.4052,0.8572,0.0239,1.021,1.021,
150076.SZ,’„…ÃŒ»Ω°,2012-09-04,0.866,0.87,0.87,0.862,0.863,27800,24027.9,-0.003,-0.3464,0.8643,0.1511,1.021,1.021,
150076.SZ,’„…ÃŒ»Ω°,2012-09-05,0.863,0.876,0.876,0.864,0.869,84190,73002.8,0.006,0.6952,0.8671,0.4579,1.022,1.022,
150076.SZ,’„…ÃŒ»Ω°,2012-09-06,0.869,0.852,0.873,0.852,0.87,16100,14035.2,0.001,0.1151,0.8718,0.0876,1.022,1.022,
150076.SZ,’„…ÃŒ»Ω°,2012-09-07,0.87,0.87,0.876,0.863,0.876,351000,306066.8,0.006,0.6897,0.872,1.9114,1.022,1.022,
150076.SZ,’„…ÃŒ»Ω°,2012-09-10,0.876,0.852,0.889,0.85,0.88,142250,125605,0.004,0.4566,0.883,0.7749,1.023,1.023,
150076.SZ,’„…ÃŒ»Ω°,2012-09-11,0.88,0.867,0.885,0.867,0.867,42600,36943.5,-0.013,-1.4773,0.8672,0.234,1.023,1.023,
150076.SZ,’„…ÃŒ»Ω°,2012-09-12,0.867,0.867,0.891,0.867,0.889,14050,12432.6,0.022,2.5375,0.8849,0.0774,1.023,1.023,
150076.SZ,’„…ÃŒ»Ω°,2012-09-13,0.889,0.889,0.895,0.876,0.88,83500,73895.8,-0.009,-1.0124,0.885,0.4608,1.023,1.023,
