代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
150225.SZ,博时中证800证券保险A,2015-05-28,--,0.901,0.901,0.901,0.901,1236700,1114266.7,--,--,0.901,0.6893,1.0016,1.0016,
150225.SZ,博时中证800证券保险A,2015-05-29,0.901,0.833,0.855,0.833,0.837,94200417,79947180.6,-0.064,-7.1032,0.8487,38.1554,1.0017,1.0017,
150225.SZ,博时中证800证券保险A,2015-06-01,0.837,0.833,0.84,0.815,0.83,86582698,72054358.2,-0.007,-0.8363,0.8322,25.9999,1.0022,1.0022,
150225.SZ,博时中证800证券保险A,2015-06-02,0.83,0.827,0.87,0.824,0.845,38587332,32413526,0.015,1.8072,0.84,10.8857,1.0024,1.0024,
150225.SZ,博时中证800证券保险A,2015-06-03,0.845,0.841,0.86,0.836,0.857,27980536,23879750.5,0.012,1.4201,0.8534,8.3366,1.0025,1.0025,
150225.SZ,博时中证800证券保险A,2015-06-04,0.857,0.858,0.87,0.854,0.861,35327075,30568781.7,0.004,0.4667,0.8653,10.3921,1.0027,1.0027,
150225.SZ,博时中证800证券保险A,2015-06-05,0.861,0.869,0.869,0.852,0.861,14665601,12629482.7,0,0,0.8612,4.0937,1.0028,1.0028,
150225.SZ,博时中证800证券保险A,2015-06-08,0.861,0.861,0.861,0.836,0.839,32344375,27250932.9,-0.022,-2.5552,0.8425,8.981,1.0033,1.0033,
150225.SZ,博时中证800证券保险A,2015-06-09,0.839,0.836,0.839,0.828,0.835,49376388,41222703.6,-0.004,-0.4768,0.8349,13.3691,1.0035,1.0035,
150225.SZ,博时中证800证券保险A,2015-06-10,0.835,0.834,0.835,0.825,0.832,23124239,19213727.8,-0.003,-0.3593,0.8309,6.1589,1.0036,1.0036,
150225.SZ,博时中证800证券保险A,2015-06-11,0.832,0.827,0.834,0.825,0.833,65912877,54617255.8,0.001,0.1202,0.8286,15.3363,1.0038,1.0038,
150225.SZ,博时中证800证券保险A,2015-06-12,0.833,0.83,0.833,0.828,0.831,74204773,61618820.3,-0.002,-0.2401,0.8304,14.2518,1.0039,1.0039,
150225.SZ,博时中证800证券保险A,2015-06-15,0.831,0.832,0.832,0.823,0.828,47970651,39720027.8,-0.003,-0.361,0.828,8.0705,1.0044,1.0044,
150225.SZ,博时中证800证券保险A,2015-06-16,0.828,0.823,0.834,0.821,0.83,30042132,24920894,0.002,0.2415,0.8295,5.0869,1.0046,1.0046,
150225.SZ,博时中证800证券保险A,2015-06-17,0.83,0.83,0.834,0.827,0.832,23771122,19773353.8,0.002,0.241,0.8318,3.9965,1.0047,1.0047,
150225.SZ,博时中证800证券保险A,2015-06-18,0.832,0.832,0.834,0.829,0.831,25240748,20995402.5,-0.001,-0.1202,0.8318,4.2434,1.0049,1.0049,
150225.SZ,博时中证800证券保险A,2015-06-19,0.831,0.831,0.835,0.828,0.83,20062945,16672034,-0.001,-0.1203,0.831,3.3731,1.005,1.005,
150225.SZ,博时中证800证券保险A,2015-06-23,0.83,0.83,0.831,0.82,0.822,27452473,22706283,-0.008,-0.9639,0.8271,4.4716,1.0057,1.0057,
150225.SZ,博时中证800证券保险A,2015-06-24,0.822,0.825,0.83,0.825,0.827,31970855,26437330.8,0.005,0.6083,0.8269,5.1121,1.0058,1.0058,
150225.SZ,博时中证800证券保险A,2015-06-25,0.827,0.827,0.845,0.826,0.84,25015087,20924144.7,0.013,1.5719,0.8365,3.9999,1.006,1.006,
150225.SZ,博时中证800证券保险A,2015-06-26,0.84,0.841,0.859,0.841,0.858,43033508,36699466.1,0.018,2.1429,0.8528,6.8809,1.0061,1.0061,
150225.SZ,博时中证800证券保险A,2015-06-29,0.858,0.84,0.849,0.833,0.841,24104413,20273209.5,-0.017,-1.9814,0.8411,3.8373,1.0066,1.0066,
150225.SZ,博时中证800证券保险A,2015-06-30,0.841,0.832,0.845,0.823,0.823,18557640,15419565.1,-0.018,-2.1403,0.8309,2.954,1.0068,1.0068,
150225.SZ,博时中证800证券保险A,2015-07-01,0.823,0.81,0.822,0.8,0.815,37895919,30708645.9,-0.008,-0.9721,0.8103,5.7307,1.0069,1.0069,
150225.SZ,博时中证800证券保险A,2015-07-02,0.815,0.809,0.817,0.803,0.806,28137607,22730763.2,-0.009,-1.1043,0.8078,4.1233,1.0071,1.0071,
150225.SZ,博时中证800证券保险A,2015-07-03,0.806,0.803,0.817,0.802,0.81,41855160,33826969.1,0.004,0.4963,0.8082,6.141,1.0072,1.0072,
150225.SZ,博时中证800证券保险A,2015-07-06,0.81,0.808,0.849,0.78,0.835,23509526,19325861.6,0.025,3.0864,0.822,3.4508,1.0077,1.0077,
150225.SZ,博时中证800证券保险A,2015-07-07,0.835,0.835,0.86,0.826,0.852,29224562,24851638.5,0.017,2.0359,0.8504,4.3891,1.0079,1.0079,
150225.SZ,博时中证800证券保险A,2015-07-08,0.852,0.852,0.855,0.767,0.799,34794009,27752787.1,-0.053,-6.2207,0.7976,5.281,1.008,1.008,
150225.SZ,博时中证800证券保险A,2015-07-09,0.799,0.799,0.879,0.799,0.86,63868511,53566985.8,0.061,7.6345,0.8387,9.8752,1.0082,1.0082,
150225.SZ,博时中证800证券保险A,2015-07-10,0.86,0.844,0.909,0.833,0.881,71783738,62933851.6,0.021,2.4419,0.8767,11.6844,1.0083,1.0083,
150225.SZ,博时中证800证券保险A,2015-07-13,0.881,0.876,0.881,0.845,0.877,36929603,32197237.3,-0.004,-0.454,0.8719,6.6406,1.0088,1.0088,
150225.SZ,博时中证800证券保险A,2015-07-14,0.877,0.85,0.898,0.85,0.882,15242160,13240093.1,0.005,0.5701,0.8686,2.9338,1.009,1.009,
150225.SZ,博时中证800证券保险A,2015-07-15,0.882,0.88,0.893,0.87,0.87,38836292,34350457.9,-0.012,-1.3605,0.8845,7.64,1.0091,1.0091,
150225.SZ,博时中证800证券保险A,2015-07-16,0.87,0.89,0.909,0.868,0.905,61840146,54752731.9,0.035,4.023,0.8854,12.3395,1.0093,1.0093,
150225.SZ,博时中证800证券保险A,2015-07-17,0.905,0.904,0.918,0.888,0.909,35481053,32363065.2,0.004,0.442,0.9121,7.4687,1.0095,1.0095,
150225.SZ,博时中证800证券保险A,2015-07-20,0.909,0.905,0.909,0.886,0.896,22569418,20347970.7,-0.013,-1.4301,0.9016,5.1605,1.0099,1.0099,
150225.SZ,博时中证800证券保险A,2015-07-21,0.896,0.898,0.9,0.87,0.891,9842366,8816567.5,-0.005,-0.558,0.8958,2.3026,1.0101,1.0101,
150225.SZ,博时中证800证券保险A,2015-07-22,0.891,0.895,0.895,0.85,0.877,30613872,26760196.2,-0.014,-1.5713,0.8741,7.1425,1.0102,1.0102,
150225.SZ,博时中证800证券保险A,2015-07-23,0.877,0.871,0.875,0.855,0.863,22929157,19825008.6,-0.014,-1.5964,0.8646,5.5338,1.0104,1.0104,
150225.SZ,博时中证800证券保险A,2015-07-24,0.863,0.859,0.865,0.845,0.862,25877279,22097890,-0.001,-0.1159,0.8539,6.2619,1.0106,1.0106,
150225.SZ,博时中证800证券保险A,2015-07-27,0.862,0.869,0.905,0.862,0.9,149365834,132738058.9,0.038,4.4084,0.8887,35.7534,1.011,1.011,
150225.SZ,博时中证800证券保险A,2015-07-28,0.9,0.911,0.92,0.891,0.901,156171569,141917664.6,0.001,0.1111,0.9087,36.6086,1.0112,1.0112,
150225.SZ,博时中证800证券保险A,2015-07-29,0.901,0.89,0.925,0.882,0.904,93602544,85239377.7,0.003,0.333,0.9107,20.6786,1.0113,1.0113,
150225.SZ,博时中证800证券保险A,2015-07-30,0.904,0.902,0.939,0.902,0.939,119523406,109807816.3,0.035,3.8717,0.9187,24.8931,1.0115,1.0115,
150225.SZ,博时中证800证券保险A,2015-07-31,0.939,0.933,0.949,0.921,0.943,120224317,112342879,0.004,0.426,0.9344,25.5539,1.0117,1.0117,
150225.SZ,博时中证800证券保险A,2015-08-03,0.943,0.942,0.951,0.936,0.945,82718366,78088792.8,0.002,0.2121,0.944,19.6893,1.0121,1.0121,
150225.SZ,博时中证800证券保险A,2015-08-04,0.945,0.941,0.946,0.927,0.931,51343650,48256411.3,-0.014,-1.4815,0.9399,13.5859,1.0123,1.0123,
150225.SZ,博时中证800证券保险A,2015-08-05,0.931,0.93,0.949,0.923,0.944,33617330,31545286.5,0.013,1.3963,0.9384,9.0447,1.0124,1.0124,
150225.SZ,博时中证800证券保险A,2015-08-06,0.944,0.945,0.955,0.94,0.955,31142255,29459056.1,0.011,1.1653,0.946,8.3141,1.0126,1.0126,
150225.SZ,博时中证800证券保险A,2015-08-07,0.955,0.954,0.954,0.943,0.951,24285307,23057782.1,-0.004,-0.4188,0.9495,6.5566,1.0128,1.0128,
150225.SZ,博时中证800证券保险A,2015-08-10,0.951,0.949,0.949,0.921,0.934,35762203,33535087.3,-0.017,-1.7876,0.9377,9.8365,1.0132,1.0132,
150225.SZ,博时中证800证券保险A,2015-08-11,0.934,0.93,0.938,0.921,0.931,32211696,29894277.3,-0.003,-0.3212,0.9281,8.8095,1.0134,1.0134,
150225.SZ,博时中证800证券保险A,2015-08-12,0.931,0.931,0.94,0.93,0.936,19093443,17828915.2,0.005,0.5371,0.9338,5.1187,1.0135,1.0135,
150225.SZ,博时中证800证券保险A,2015-08-13,0.936,0.933,0.941,0.932,0.935,29869669,27948084,-0.001,-0.1068,0.9357,7.9714,1.0137,1.0137,
150225.SZ,博时中证800证券保险A,2015-08-14,0.935,0.932,0.935,0.93,0.933,18157800,16940663.8,-0.002,-0.2139,0.933,4.8359,1.0139,1.0139,
150225.SZ,博时中证800证券保险A,2015-08-17,0.933,0.936,0.944,0.934,0.94,39649451,37276698.9,0.007,0.7503,0.9402,10.5563,1.0143,1.0143,
150225.SZ,博时中证800证券保险A,2015-08-18,0.94,0.939,0.964,0.936,0.956,35824865,33824945.7,0.016,1.7021,0.9442,9.538,1.0145,1.0145,
150225.SZ,博时中证800证券保险A,2015-08-19,0.956,0.958,0.969,0.951,0.955,77401576,74260948.8,-0.001,-0.1046,0.9594,20.3426,1.0147,1.0147,
150225.SZ,博时中证800证券保险A,2015-08-20,0.955,0.958,0.97,0.954,0.97,55177624,53153633.3,0.015,1.5707,0.9633,14.5051,1.0148,1.0148,
150225.SZ,博时中证800证券保险A,2015-08-21,0.97,0.967,0.971,0.964,0.967,55516836,53657686.1,-0.003,-0.3093,0.9665,14.5666,1.015,1.015,
150225.SZ,博时中证800证券保险A,2015-08-24,0.967,0.966,0.974,0.962,0.969,139495864,134806140.3,0.002,0.2068,0.9664,36.9559,1.0154,1.0154,
150225.SZ,博时中证800证券保险A,2015-08-25,0.969,0.972,0.975,0.967,0.974,68460889,66506438.3,0.005,0.516,0.9715,22.3172,1.0156,1.0156,
150225.SZ,博时中证800证券保险A,2015-08-26,0.974,0.974,0.988,0.974,0.984,102636383,100671419.9,0.01,1.0267,0.9809,35.3084,1,1.0158,
