代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
502014.SH,长盛中证申万一带一路A,2015-06-09,--,0.902,0.902,0.902,0.902,4337700,3912605,--,--,0.902,0.9756,1.002,1.002,
502014.SH,长盛中证申万一带一路A,2015-06-10,0.902,0.812,0.835,0.812,0.825,192067901,157410692,-0.077,-8.5366,0.8196,42.3148,1.002,1.002,
502014.SH,长盛中证申万一带一路A,2015-06-11,0.825,0.82,0.829,0.817,0.828,96601399,79634062,0.003,0.3636,0.8244,21.162,1.002,1.002,
502014.SH,长盛中证申万一带一路A,2015-06-12,0.828,0.827,0.83,0.823,0.827,61382406,50789755,-0.001,-0.1208,0.8274,13.4714,1.002,1.002,
502014.SH,长盛中证申万一带一路A,2015-06-15,0.827,0.826,0.827,0.819,0.825,77076554,63545755,-0.002,-0.2418,0.8244,14.9352,1.003,1.003,
502014.SH,长盛中证申万一带一路A,2015-06-16,0.825,0.822,0.829,0.819,0.827,62526915,51603239,0.002,0.2424,0.8253,11.8275,1.003,1.003,
502014.SH,长盛中证申万一带一路A,2015-06-17,0.827,0.827,0.833,0.827,0.83,54443494,45206279,0.003,0.3628,0.8303,10.0976,1.003,1.003,
502014.SH,长盛中证申万一带一路A,2015-06-18,0.83,0.83,0.836,0.827,0.832,50019871,41595861,0.002,0.241,0.8316,9.188,1.003,1.003,
502014.SH,长盛中证申万一带一路A,2015-06-19,0.832,0.832,0.838,0.828,0.837,56717784,47389524,0.005,0.601,0.8355,10.005,1.003,1.003,
502014.SH,长盛中证申万一带一路A,2015-06-23,0.837,0.84,0.84,0.8,0.829,44013737,36604876,-0.008,-0.9558,0.8317,7.7826,1.004,1.004,
502014.SH,长盛中证申万一带一路A,2015-06-24,0.829,0.83,0.837,0.825,0.836,40498229,33664971,0.007,0.8444,0.8313,6.9906,1.004,1.004,
502014.SH,长盛中证申万一带一路A,2015-06-25,0.836,0.835,0.848,0.83,0.846,26011387,21876850,0.01,1.1962,0.841,4.404,1.004,1.004,
502014.SH,长盛中证申万一带一路A,2015-06-26,0.846,0.846,0.9,0.846,0.866,54840431,47178014,0.02,2.3641,0.8603,8.9767,1.005,1.005,
502014.SH,长盛中证申万一带一路A,2015-06-29,0.866,0.85,0.87,0.84,0.855,29612472,25335572,-0.011,-1.2702,0.8556,4.8509,1.005,1.005,
502014.SH,长盛中证申万一带一路A,2015-06-30,0.855,0.855,0.859,0.8,0.834,39400173,33045886,-0.021,-2.4561,0.8387,6.4543,1.005,1.005,
502014.SH,长盛中证申万一带一路A,2015-07-01,0.834,0.831,0.835,0.812,0.833,53004093,43459206,-0.001,-0.1199,0.8199,8.1572,1.005,1.005,
502014.SH,长盛中证申万一带一路A,2015-07-02,0.833,0.833,0.838,0.818,0.836,66107496,54703569,0.003,0.3601,0.8275,9.8079,1.006,1.006,
502014.SH,长盛中证申万一带一路A,2015-07-03,0.836,0.836,0.889,0.836,0.884,143976676,123867957,0.048,5.7416,0.8603,20.2373,1.006,1.006,
502014.SH,长盛中证申万一带一路A,2015-07-06,0.884,0.824,0.908,0.8,0.884,234170343,203852165,0,0,0.8705,30.1343,1.006,1.006,
502014.SH,长盛中证申万一带一路A,2015-07-07,0.884,0.885,0.904,0.87,0.893,213681443,189492571,0.009,1.0181,0.8868,26.0615,1.006,1.006,
502014.SH,长盛中证申万一带一路A,2015-07-08,0.893,0.842,0.868,0.804,0.85,216712872,180197290,-0.043,-4.8152,0.8315,147.1481,1,1.0065,
502014.SH,长盛中证申万一带一路A,2015-07-09,0.85,0.85,0.85,0.85,0.85,--,--,0,0,--,--,1,1.0065,
502014.SH,长盛中证申万一带一路A,2015-07-10,0.85,0.9,0.9,0.9,0.9,10543100,9488790,0.05,-10,0.9,6.8569,1,1.0065,
502014.SH,长盛中证申万一带一路A,2015-07-13,0.9,0.83,0.85,0.826,0.84,62515720,52385708,-0.06,-6.6667,0.838,50.7723,1.001,1.0075,
502014.SH,长盛中证申万一带一路A,2015-07-14,0.84,0.837,0.861,0.831,0.856,44763507,38250403,0.016,1.9048,0.8545,40.3887,1.001,1.0075,
502014.SH,长盛中证申万一带一路A,2015-07-15,0.856,0.86,0.94,0.86,0.89,17454603,15362994,0.034,3.972,0.8802,17.1208,1.001,1.0075,
502014.SH,长盛中证申万一带一路A,2015-07-16,0.89,0.877,0.898,0.871,0.896,11659272,10308946,0.006,0.6742,0.8842,12.2037,1.001,1.0075,
502014.SH,长盛中证申万一带一路A,2015-07-17,0.896,0.89,0.898,0.888,0.893,20143222,18021425,-0.003,-0.3348,0.8947,22.2257,1.001,1.0075,
502014.SH,长盛中证申万一带一路A,2015-07-20,0.893,0.89,0.899,0.879,0.89,12162815,10790516,-0.003,-0.3359,0.8872,13.8573,1.002,1.0085,
502014.SH,长盛中证申万一带一路A,2015-07-21,0.89,0.886,0.89,0.881,0.882,12760828,11299421,-0.008,-0.8989,0.8855,14.2502,1.002,1.0085,
502014.SH,长盛中证申万一带一路A,2015-07-22,0.882,0.882,0.885,0.868,0.873,10768363,9436863,-0.009,-1.0204,0.8764,12.4017,1.002,1.0085,
502014.SH,长盛中证申万一带一路A,2015-07-23,0.873,0.869,0.873,0.854,0.856,10587455,9138138,-0.017,-1.9473,0.8631,12.1339,1.002,1.0085,
502014.SH,长盛中证申万一带一路A,2015-07-24,0.856,0.859,0.863,0.848,0.862,7474916,6376917,0.006,0.7009,0.8531,8.4488,1.003,1.0095,
502014.SH,长盛中证申万一带一路A,2015-07-27,0.862,0.862,0.888,0.859,0.88,9058171,7904442,0.018,2.0882,0.8726,10.4105,1.003,1.0095,
502014.SH,长盛中证申万一带一路A,2015-07-28,0.88,0.878,0.88,0.84,0.869,7763290,6736760,-0.011,-1.25,0.8678,8.8632,1.003,1.0095,
502014.SH,长盛中证申万一带一路A,2015-07-29,0.869,0.864,0.89,0.859,0.875,12769362,11240759,0.006,0.6904,0.8803,15.0338,1.003,1.0095,
502014.SH,长盛中证申万一带一路A,2015-07-30,0.875,0.872,0.9,0.866,0.889,7866202,6952836,0.014,1.6,0.8839,9.4034,1.003,1.0095,
502014.SH,长盛中证申万一带一路A,2015-07-31,0.889,0.889,0.898,0.883,0.898,7309937,6538446,0.009,1.0124,0.8945,8.9866,1.004,1.0105,
502014.SH,长盛中证申万一带一路A,2015-08-03,0.898,0.898,0.911,0.893,0.907,6629080,5995396,0.009,1.0022,0.9044,8.3426,1.004,1.0105,
502014.SH,长盛中证申万一带一路A,2015-08-04,0.907,0.905,0.912,0.893,0.901,13824677,12489887,-0.006,-0.6615,0.9034,17.3766,1.004,1.0105,
502014.SH,长盛中证申万一带一路A,2015-08-05,0.901,0.899,0.908,0.891,0.905,6591729,5961410,0.004,0.444,0.9044,8.2187,1.004,1.0105,
502014.SH,长盛中证申万一带一路A,2015-08-06,0.905,0.91,0.915,0.905,0.909,4098565,3720994,0.004,0.442,0.9079,5.1689,1.005,1.0115,
502014.SH,长盛中证申万一带一路A,2015-08-07,0.909,0.91,0.91,0.902,0.91,5135663,4656262,0.001,0.11,0.9067,6.502,1.005,1.0115,
502014.SH,长盛中证申万一带一路A,2015-08-10,0.91,0.903,0.91,0.881,0.889,8617168,7716901,-0.021,-2.3077,0.8955,11.1243,1.005,1.0115,
502014.SH,长盛中证申万一带一路A,2015-08-11,0.889,0.889,0.897,0.882,0.895,6185760,5485864,0.006,0.6749,0.8869,8.038,1.005,1.0115,
502014.SH,长盛中证申万一带一路A,2015-08-12,0.895,0.892,0.9,0.885,0.895,4760444,4254741,0,0,0.8938,6.4246,1.006,1.0125,
502014.SH,长盛中证申万一带一路A,2015-08-13,0.895,0.895,0.899,0.891,0.897,3814119,3414977,0.002,0.2235,0.8954,5.177,1.006,1.0125,
502014.SH,长盛中证申万一带一路A,2015-08-14,0.897,0.894,0.902,0.89,0.901,4609633,4132649,0.004,0.4459,0.8965,6.4032,1.006,1.0125,
502014.SH,长盛中证申万一带一路A,2015-08-17,0.901,0.897,0.916,0.897,0.91,4318327,3931174,0.009,0.9989,0.9103,6.2608,1.006,1.0125,
502014.SH,长盛中证申万一带一路A,2015-08-18,0.91,0.908,0.919,0.908,0.913,3448738,3157968,0.003,0.3297,0.9157,5.1131,1.006,1.0125,
