´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(·Ý),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),µ¥Î»¾»Öµ(Ôª),ÀÛ¼Æ¾»Öµ(Ôª),
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-06,--,0.958,0.958,0.958,0.958,200,191.6,--,--,0.958,0.0001,0.961,0.961,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-09,0.958,0.872,0.92,0.872,0.9,400307,357475.7,-0.058,-6.0543,0.893,0.1112,0.96,0.96,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-10,0.9,0.899,0.899,0.872,0.879,352402,308904.4,-0.021,-2.3333,0.8766,0.0979,0.96,0.96,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-11,0.879,0.854,0.871,0.854,0.869,451010,392019.7,-0.01,-1.1377,0.8692,0.1252,0.959,0.959,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-12,0.869,0.87,0.871,0.86,0.87,490209,423116.1,0.001,0.1151,0.8631,0.1361,0.959,0.959,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-13,0.87,0.86,0.869,0.86,0.869,8112,6979.9,-0.001,-0.1149,0.8604,0.0023,0.959,0.959,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-16,0.869,0.878,0.878,0.864,0.869,551800,478478.6,0,0,0.8671,0.1532,0.954,0.954,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-17,0.869,0.865,0.865,0.85,0.864,275206,235508.8,-0.005,-0.5754,0.8558,0.0764,0.951,0.951,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-18,0.864,0.854,0.854,0.844,0.85,277012,235403.8,-0.014,-1.6204,0.8498,0.0769,0.95,0.95,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-19,0.85,0.866,0.866,0.848,0.858,83900,71323.2,0.008,0.9412,0.8501,0.0233,0.945,0.945,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-20,0.858,0.848,0.85,0.821,0.849,20610,17479,-0.009,-1.049,0.8481,0.0057,0.946,0.946,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-23,0.849,0.848,0.848,0.848,0.848,8800,7462.4,-0.001,-0.1178,0.848,0.0024,0.945,0.945,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-24,0.848,0.85,0.855,0.849,0.855,29100,24710.5,0.007,0.8255,0.8492,0.0081,0.945,0.945,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-25,0.855,0.855,0.855,0.855,0.855,--,--,0,0,--,--,0.946,0.946,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-26,0.855,0.84,0.842,0.83,0.842,102702,86186.4,-0.013,-1.5205,0.8392,0.0285,0.946,0.946,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-27,0.842,0.852,0.852,0.852,0.852,100,85.2,0.01,1.1876,0.852,0,0.944,0.944,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-30,0.852,0.85,0.85,0.84,0.84,173600,146037.9,-0.012,-1.4085,0.8412,0.0482,0.94,0.94,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2013-12-31,0.84,0.84,0.84,0.84,0.84,8900,7476,0,0,0.84,0.0025,0.941,0.941,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-02,0.84,0.839,0.839,0.839,0.839,1000,839,-0.001,-0.119,0.839,0.0003,0.94,0.94,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-03,0.839,0.839,0.839,0.826,0.836,109000,90150.7,-0.003,-0.3576,0.8271,0.0303,0.939,0.939,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-06,0.836,0.826,0.83,0.815,0.82,270250,222080.7,-0.016,-1.9139,0.8218,0.075,0.935,0.935,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-07,0.82,0.782,0.823,0.782,0.819,23200,19089.1,-0.001,-0.122,0.8228,0.0064,0.931,0.931,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-08,0.819,0.8,0.812,0.8,0.809,10200,8280.9,-0.01,-1.221,0.8119,0.0028,0.93,0.93,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-09,0.809,0.8,0.825,0.8,0.818,211100,173439.8,0.009,1.1125,0.8216,0.0586,0.933,0.933,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-10,0.818,0.816,0.817,0.8,0.817,352700,286580,-0.001,-0.1222,0.8125,0.0979,0.93,0.93,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-13,0.817,0.81,0.818,0.81,0.815,112035,91353.2,-0.002,-0.2448,0.8154,0.0311,0.928,0.928,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-14,0.815,0.805,0.817,0.786,0.786,53500,42562.1,-0.029,-3.5583,0.7956,0.0149,0.927,0.927,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-15,0.786,0.791,0.805,0.791,0.805,137504,108777.1,0.019,2.4173,0.7911,0.0382,0.921,0.921,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-16,0.805,0.796,0.803,0.796,0.803,79200,63057.9,-0.002,-0.2484,0.7962,0.022,0.92,0.92,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-17,0.803,0.803,0.803,0.803,0.803,--,--,0,0,--,--,0.919,0.919,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-20,0.803,0.79,0.79,0.785,0.785,45200,35525.9,-0.018,-2.2416,0.786,0.0126,0.913,0.913,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-21,0.785,0.762,0.799,0.762,0.777,66771,51406,-0.008,-1.0191,0.7699,0.0185,0.914,0.914,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-22,0.777,0.778,0.813,0.778,0.813,108801,84880.7,0.036,4.6332,0.7801,0.0302,0.919,0.919,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-23,0.813,0.781,0.819,0.78,0.817,224201,180892.7,0.004,0.492,0.8068,0.0623,0.918,0.918,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-24,0.817,0.795,0.814,0.795,0.813,196267,158338.1,-0.004,-0.4896,0.8067,0.0545,0.922,0.922,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-27,0.813,0.816,0.816,0.783,0.8,201570,159569.2,-0.013,-1.599,0.7916,0.056,0.924,0.924,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-28,0.8,0.801,0.801,0.8,0.8,286005,228824.8,0,0,0.8001,0.0794,0.925,0.925,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-29,0.8,0.817,0.817,0.805,0.816,111600,90706.9,0.016,2,0.8128,0.031,0.928,0.928,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-01-30,0.816,0.805,0.834,0.805,0.834,279974,227738.8,0.018,2.2059,0.8134,0.0777,0.929,0.929,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-07,0.834,0.831,0.831,0.786,0.829,270300,219523.1,-0.005,-0.5995,0.8121,0.0751,0.93,0.93,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-10,0.829,0.802,0.815,0.801,0.813,483160,390534.1,-0.016,-1.93,0.8083,0.1342,0.931,0.931,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-11,0.813,0.809,0.818,0.807,0.815,750702,607490.7,0.002,0.246,0.8092,0.2085,0.933,0.933,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-12,0.815,0.81,0.848,0.81,0.848,819655,669945.7,0.033,4.0491,0.8174,0.2276,0.937,0.937,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-13,0.848,0.835,0.86,0.835,0.86,829306,704157.8,0.012,1.4151,0.8491,0.2303,0.939,0.939,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-14,0.86,0.869,0.888,0.869,0.888,977802,859323.9,0.028,3.2558,0.8788,0.2715,0.949,0.949,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-17,0.888,0.889,0.901,0.889,0.893,617300,551832.5,0.005,0.5631,0.8939,0.1714,0.953,0.953,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-18,0.893,0.888,0.888,0.861,0.87,4681412,4074487.8,-0.023,-2.5756,0.8704,1.3,0.947,0.947,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-19,0.87,0.866,0.873,0.86,0.866,16371964,14086470.3,-0.004,-0.4598,0.8604,4.5463,0.951,0.951,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-20,0.866,0.863,0.868,0.861,0.866,3807364,3289671.3,0,0,0.864,1.0573,0.957,0.957,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-21,0.866,0.869,0.874,0.867,0.87,3249602,2825907.4,0.004,0.4619,0.8696,0.9024,0.958,0.958,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-24,0.87,0.872,0.872,0.858,0.864,2657564,2291191.2,-0.006,-0.6897,0.8621,0.738,0.96,0.96,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-25,0.864,0.862,0.865,0.862,0.864,1150700,994518,0,0,0.8643,0.3195,0.956,0.956,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2014-02-26,0.864,0.86,0.86,0.844,0.854,2031118,1727985.3,-0.01,-1.1574,0.8508,0.564,0.958,0.958,
