代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
150318.SZ,交银互联网金融B,2015-07-08,--,0.898,1.066,0.898,1.001,9961689,9474977.9,--,--,0.9511,16.884,0.998,0.998,
150318.SZ,交银互联网金融B,2015-07-09,1.001,0.95,1.101,0.95,1.1,7458345,7732515.8,0.099,9.8901,1.0368,25.4475,0.998,0.998,
150318.SZ,交银互联网金融B,2015-07-10,1.1,1.032,1.18,1.032,1.15,5589456,6270663,0.05,4.5455,1.1219,25.2394,0.998,0.998,
150318.SZ,交银互联网金融B,2015-07-13,1.15,1.125,1.125,1.071,1.077,4001032,4343265,-0.073,-6.3478,1.0855,17.7212,1.005,1.005,
150318.SZ,交银互联网金融B,2015-07-14,1.077,1.08,1.096,1.043,1.074,2607562,2801655.5,-0.003,-0.2786,1.0744,11.6367,0.983,0.983,
150318.SZ,交银互联网金融B,2015-07-15,1.074,1.03,1.069,0.974,1.033,1402118,1413291.5,-0.041,-3.8175,1.008,6.6661,0.901,0.901,
150318.SZ,交银互联网金融B,2015-07-16,1.033,0.988,1.01,0.934,1.007,566816,561577.8,-0.026,-2.5169,0.9908,2.8629,0.895,0.895,
150318.SZ,交银互联网金融B,2015-07-17,1.007,0.99,1.05,0.972,1.049,1196384,1221737,0.042,4.1708,1.0212,6.0235,0.988,0.988,
150318.SZ,交银互联网金融B,2015-07-20,1.049,1.11,1.154,1.08,1.121,3720341,4176393.8,0.072,6.8637,1.1226,18.6887,1.036,1.036,
150318.SZ,交银互联网金融B,2015-07-21,1.121,1.116,1.116,1.06,1.1,2829356,3084836.9,-0.021,-1.8733,1.0903,14.0545,1.054,1.054,
150318.SZ,交银互联网金融B,2015-07-22,1.1,1.074,1.135,1.074,1.12,3883022,4301673.6,0.02,1.8182,1.1078,19.3592,1.07,1.07,
150318.SZ,交银互联网金融B,2015-07-23,1.12,1.14,1.197,1.1,1.197,3897485,4463926.5,0.077,6.875,1.1453,21.786,1.129,1.129,
150318.SZ,交银互联网金融B,2015-07-24,1.197,1.197,1.255,1.15,1.157,3647605,4414901.2,-0.04,-3.3417,1.2104,20.8393,1.079,1.079,
150318.SZ,交银互联网金融B,2015-07-27,1.157,1.111,1.129,1.041,1.041,3088023,3334727.1,-0.116,-10.0259,1.0799,17.8375,0.907,0.907,
150318.SZ,交银互联网金融B,2015-07-28,1.041,0.937,1,0.937,0.937,1948602,1838893,-0.104,-9.9904,0.9437,11.6099,0.817,0.817,
150318.SZ,交银互联网金融B,2015-07-29,0.937,0.881,0.99,0.881,0.933,1507439,1416024.5,-0.004,-0.4269,0.9394,9.069,0.894,0.894,
150318.SZ,交银互联网金融B,2015-07-30,0.933,0.952,0.983,0.886,0.886,784200,738136.1,-0.047,-5.0375,0.9413,4.7194,0.812,0.812,
150318.SZ,交银互联网金融B,2015-07-31,0.886,0.811,0.87,0.811,0.825,1066654,894868.7,-0.061,-6.8849,0.8389,6.4349,0.784,0.784,
150318.SZ,交银互联网金融B,2015-08-03,0.825,0.758,0.81,0.743,0.743,1079400,820664.5,-0.082,-9.9394,0.7603,6.5249,0.708,0.708,
150318.SZ,交银互联网金融B,2015-08-04,0.743,0.723,0.817,0.718,0.817,1271964,991796.4,0.074,9.9596,0.7797,7.7597,0.787,0.787,
150318.SZ,交银互联网金融B,2015-08-05,0.817,0.81,0.838,0.778,0.8,857406,694912,-0.017,-2.0808,0.8105,5.3342,0.747,0.747,
150318.SZ,交银互联网金融B,2015-08-06,0.8,0.742,0.796,0.742,0.758,317900,243017.1,-0.042,-5.25,0.7644,1.9927,0.731,0.731,
150318.SZ,交银互联网金融B,2015-08-07,0.758,0.793,0.834,0.765,0.833,1176120,965375.3,0.075,9.8945,0.8208,7.3987,0.799,0.799,
