代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
502008.SH,易方达国企改革B,2015-06-25,--,1.114,1.114,1.114,1.114,2108664,2349052,--,--,1.114,1.4033,0.9376,0.9376,
502008.SH,易方达国企改革B,2015-06-26,1.114,1.188,1.225,1.15,1.221,49318055,59919976,0.107,9.605,1.215,36.0662,0.7878,0.7878,
502008.SH,易方达国企改革B,2015-06-29,1.221,1.27,1.343,1.1,1.343,50390241,62933272,0.122,9.9918,1.2489,38.4835,0.6956,0.6956,
502008.SH,易方达国企改革B,2015-06-30,1.343,1.209,1.477,1.209,1.477,58908178,80216870,0.134,9.9777,1.3617,44.9888,0.7764,0.7764,
502008.SH,易方达国企改革B,2015-07-01,1.477,1.329,1.46,1.329,1.329,191352492,258844529,-0.148,-10.0203,1.3527,62.2376,0.7177,0.7177,
502008.SH,易方达国企改革B,2015-07-02,1.329,1.196,1.196,1.196,1.196,27120700,32436357,-0.133,-10.0075,1.196,3.8706,0.6312,0.6312,
502008.SH,易方达国企改革B,2015-07-03,1.196,1.076,1.076,1.076,1.076,12005400,12917810,-0.12,-10.0334,1.076,1.3868,0.5318,0.5318,
502008.SH,易方达国企改革B,2015-07-06,1.076,0.968,0.968,0.968,0.968,72854400,70523059,-0.108,-10.0372,0.968,8.4018,0.5216,0.5216,
502008.SH,易方达国企改革B,2015-07-07,0.968,0.871,0.871,0.871,0.871,1014600,883717,-0.097,-10.0207,0.871,0.1383,0.4364,0.4364,
502008.SH,易方达国企改革B,2015-07-08,0.871,0.784,0.784,0.784,0.784,388400,304506,-0.087,-9.9885,0.784,0.0749,0.3303,0.3303,
502008.SH,易方达国企改革B,2015-07-09,0.784,0.706,0.862,0.706,0.847,305452734,232952492,0.063,8.0357,0.7626,57.6234,0.3663,0.3663,
502008.SH,易方达国企改革B,2015-07-10,0.847,0.762,0.91,0.762,0.837,347570064,292646091,-0.01,-1.1806,0.842,63.6119,0.4078,0.4078,
502008.SH,易方达国企改革B,2015-07-13,0.837,0.753,0.753,0.753,0.753,86750500,65323127,-0.084,-10.0358,0.753,10.6514,0.4428,0.4428,
502008.SH,易方达国企改革B,2015-07-14,0.753,0.678,0.678,0.678,0.678,19915600,13502777,-0.075,-9.9602,0.678,2.3622,0.4352,0.4352,
502008.SH,易方达国企改革B,2015-07-15,0.678,0.61,0.61,0.61,0.61,9046500,5518365,-0.068,-10.0295,0.61,1.3217,0.3491,0.3491,
502008.SH,易方达国企改革B,2015-07-16,0.61,0.549,0.549,0.549,0.549,38904500,21358571,-0.061,-10,0.549,6.1174,0.3767,0.3767,
502008.SH,易方达国企改革B,2015-07-17,0.549,0.494,0.58,0.494,0.555,316380067,163852849,0.006,1.0929,0.5179,50.6362,0.4388,0.4388,
502008.SH,易方达国企改革B,2015-07-20,0.555,0.54,0.607,0.528,0.578,269428150,153896109,0.023,4.1441,0.5712,43.6487,0.4586,0.4586,
502008.SH,易方达国企改革B,2015-07-21,0.578,0.567,0.636,0.544,0.636,242865419,146243712,0.058,10.0346,0.6022,38.5267,0.4694,0.4694,
