代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
502048.SH,易方达上证50分级,2015-04-27,--,1.8662,1.8662,1.7066,1.7847,167550873,171255011,--,--,1.0221,12.6101,1.0211,1.0211,
502048.SH,易方达上证50分级,2015-04-28,1.7847,1.7507,1.7507,1.7134,1.7219,97675241,99337791,-0.0628,-3.5205,1.017,7.3512,1.0137,1.0137,
502048.SH,易方达上证50分级,2015-04-29,1.7219,1.7236,1.7354,1.6998,1.7286,72187705,73159473,0.0068,0.3945,1.0135,5.4329,1.014,1.014,
502048.SH,易方达上证50分级,2015-04-30,1.7286,1.732,1.7388,1.6981,1.7032,56952091,57667507,-0.0255,-1.4735,1.0126,4.2863,1.0046,1.0046,
502048.SH,易方达上证50分级,2015-05-04,1.7032,1.7117,1.7134,1.6879,1.7015,37035128,37088282,-0.0017,-0.0997,1.0014,2.7873,1.0108,1.0108,
502048.SH,易方达上证50分级,2015-05-05,1.7015,1.6981,1.7015,1.6403,1.6539,43352255,42713439,-0.0475,-2.7944,0.9853,3.2627,0.9746,0.9746,
502048.SH,易方达上证50分级,2015-05-06,1.6539,1.6624,1.6913,1.6234,1.6387,31767634,31076628,-0.0153,-0.924,0.9782,2.3909,0.9718,0.9718,
502048.SH,易方达上证50分级,2015-05-07,1.6387,1.6336,1.6556,1.6251,1.6353,39322252,37870173,-0.0034,-0.2073,0.9631,2.9594,0.9588,0.9588,
502048.SH,易方达上证50分级,2015-05-08,1.6353,1.6505,1.6607,1.62,1.6488,81910305,78975922,0.0136,0.8307,0.9642,6.1647,0.9633,0.9633,
502048.SH,易方达上证50分级,2015-05-11,1.6488,1.659,1.6607,1.6302,1.6573,24137045,23465436,0.0085,0.5149,0.9722,1.8166,0.9802,0.9802,
502048.SH,易方达上证50分级,2015-05-12,1.6573,1.6539,1.6641,1.6403,1.6607,50086884,48770869,0.0034,0.2049,0.9737,3.7696,0.9857,0.9857,
502048.SH,易方达上证50分级,2015-05-13,1.6607,1.6556,1.6607,1.6251,1.6387,42746385,41418987,-0.0221,-1.3292,0.9689,3.2172,0.9719,0.9719,
502048.SH,易方达上证50分级,2015-05-14,1.6387,1.637,1.6488,1.6234,1.6319,36985404,35533822,-0.0068,-0.4145,0.9608,2.7836,0.9682,0.9682,
502048.SH,易方达上证50分级,2015-05-15,1.6319,1.6302,1.6302,1.5809,1.5996,42967958,40616882,-0.0323,-1.9771,0.9453,3.2338,0.9481,0.9481,
502048.SH,易方达上证50分级,2015-05-18,1.5996,1.5996,1.6098,1.569,1.5707,28593604,26606089,-0.0289,-1.8047,0.9305,2.152,0.9297,0.9297,
502048.SH,易方达上证50分级,2015-05-19,1.5707,1.5707,1.637,1.5707,1.6302,51172983,48698309,0.0594,3.7838,0.9516,3.8513,0.9642,0.9642,
502048.SH,易方达上证50分级,2015-05-20,1.6302,1.6387,1.6624,1.6234,1.6285,33116689,32009754,-0.0017,-0.1042,0.9666,2.4924,0.9679,0.9679,
502048.SH,易方达上证50分级,2015-05-21,1.6285,1.6319,1.6471,1.6234,1.642,17132592,16509245,0.0136,0.8342,0.9636,1.2894,0.9761,0.9761,
502048.SH,易方达上证50分级,2015-05-22,1.642,1.6539,1.7049,1.6539,1.7032,46538286,46249330,0.0611,3.7229,0.9938,3.5025,1.0048,1.0048,
502048.SH,易方达上证50分级,2015-05-25,1.7032,1.7303,1.8,1.7219,1.7915,80881003,83987869,0.0883,5.1844,1.0384,6.0872,1.0343,1.0343,
502048.SH,易方达上证50分级,2015-05-26,1.7915,1.8034,1.839,1.7626,1.8068,48870912,52199858,0.0153,0.8531,1.0681,3.6781,1.0449,1.0449,
502048.SH,易方达上证50分级,2015-05-27,1.8068,1.7966,1.8254,1.7541,1.7592,41524669,43413037,-0.0475,-2.6316,1.0455,3.1252,1.0337,1.0337,
502048.SH,易方达上证50分级,2015-05-28,1.7592,1.749,1.7575,1.6454,1.6488,70502336,70725954,-0.1104,-6.2741,1.0032,5.3061,0.9697,0.9697,
502048.SH,易方达上证50分级,2015-05-29,1.6488,1.6488,1.7253,1.6149,1.6319,36169319,35043370,-0.017,-1.0299,0.9689,2.7222,0.9658,0.9658,
502048.SH,易方达上证50分级,2015-06-01,1.6319,1.6285,1.7015,1.603,1.6964,21795446,21371047,0.0645,3.9542,0.9805,1.6404,1.0047,1.0047,
502048.SH,易方达上证50分级,2015-06-02,1.6964,1.6913,1.7066,1.6658,1.6981,29015894,28845897,0.0017,0.1001,0.9941,2.1838,1.0087,1.0087,
502048.SH,易方达上证50分级,2015-06-03,1.6981,1.6777,1.6981,1.6692,1.6879,22015925,21821096,-0.0102,-0.6,0.9912,1.6569,1.0046,1.0046,
502048.SH,易方达上证50分级,2015-06-04,1.6879,1.6879,1.7575,1.6641,1.749,50117954,50332777,0.0611,3.6217,1.0043,3.7719,1.0226,1.0226,
502048.SH,易方达上证50分级,2015-06-05,1.749,1.7966,1.8203,1.7219,1.7473,46701726,48348290,-0.0017,-0.0971,1.0353,3.5148,1.0238,1.0238,
502048.SH,易方达上证50分级,2015-06-08,1.7473,1.7456,1.8628,1.727,1.8458,82451809,87399678,0.0985,5.6365,1.06,6.2054,1.0691,1.0691,
502048.SH,易方达上证50分级,2015-06-09,1.8458,1.8492,1.8679,1.7983,1.8169,70895334,76306637,-0.0289,-1.5639,1.0763,5.3357,1.0561,1.0561,
502048.SH,易方达上证50分级,2015-06-10,1.8169,1.7813,1.8051,1.7354,1.7728,66205153,69627875,-0.0442,-2.4299,1.0517,4.9827,1.0436,1.0436,
502048.SH,易方达上证50分级,2015-06-11,1.7728,1.7796,1.7796,1.7354,1.7592,60030534,62030426,-0.0136,-0.7663,1.0333,4.518,1.037,1.037,
502048.SH,易方达上证50分级,2015-06-12,1.7592,1.7558,1.7796,1.7473,1.7592,28219965,29261339,0,0,1.0369,2.1239,1.0384,1.0384,
502048.SH,易方达上证50分级,2015-06-15,1.7592,1.7626,1.7864,1.7066,1.7083,29903130,30714216,-0.0509,-2.8958,1.0271,2.2505,1.0128,1.0128,
502048.SH,易方达上证50分级,2015-06-16,1.7083,1.6981,1.7236,1.6607,1.6658,35900305,35741431,-0.0425,-2.4851,0.9956,2.7019,0.9893,0.9893,
502048.SH,易方达上证50分级,2015-06-17,1.6658,1.6811,1.6981,1.6471,1.6828,61544464,60504935,0.017,1.0194,0.9831,4.6319,0.9984,0.9984,
502048.SH,易方达上证50分级,2015-06-18,1.6828,1.6811,1.6811,1.6132,1.6149,32093730,31254768,-0.0679,-4.0363,0.9739,2.4154,0.956,0.956,
502048.SH,易方达上证50分级,2015-06-19,1.6149,1.6132,1.6251,1.5283,1.5673,90337865,85078665,-0.0475,-2.9443,0.9418,6.7989,0.9081,0.9081,
502048.SH,易方达上证50分级,2015-06-23,1.5673,1.5673,1.6964,1.5622,1.6828,68500485,65425552,0.1155,7.3673,0.9551,5.1554,0.9387,0.9387,
502048.SH,易方达上证50分级,2015-06-24,1.6828,1.6794,1.7219,1.6471,1.7185,54598053,54260562,0.0357,2.1191,0.9938,4.1091,0.9494,0.9494,
502048.SH,易方达上证50分级,2015-06-25,1.7185,1.6794,1.6811,1.6268,1.6319,136931649,133456413,-0.0866,-5.0395,0.9746,10.3057,0.9269,0.9269,
502048.SH,易方达上证50分级,2015-06-26,1.6319,1.5537,1.586,1.4688,1.4705,340441083,310106475,-0.1613,-9.8855,0.9109,25.6221,0.8692,0.8692,
502048.SH,易方达上证50分级,2015-06-29,1.4705,1.5113,1.5554,1.3279,1.4553,344414741,300141051,-0.0153,-1.0393,0.8715,25.9211,0.8545,0.8545,
502048.SH,易方达上证50分级,2015-06-30,1.4553,1.4688,1.552,1.4434,1.5436,246763675,218759961,0.0883,6.0677,0.8865,23.3181,0.9101,0.9101,
502048.SH,易方达上证50分级,2015-07-01,1.5436,1.513,1.5453,1.4451,1.4637,262057250,234381068,-0.0798,-5.1705,0.8944,24.7633,0.8706,0.8706,
502048.SH,易方达上证50分级,2015-07-02,1.4637,1.4977,1.5164,1.3924,1.4671,216736604,189041680,0.0034,0.232,0.8722,20.4807,0.8641,0.8641,
502048.SH,易方达上证50分级,2015-07-03,1.4671,1.4671,1.5402,1.3602,1.4587,294519261,256846322,-0.0085,-0.5787,0.8721,27.8308,0.8271,0.8271,
502048.SH,易方达上证50分级,2015-07-06,1.4587,1.6047,1.6047,1.5181,1.5792,160396812,146758091,0.1206,8.2654,0.915,15.1568,0.873,0.873,
502048.SH,易方达上证50分级,2015-07-07,1.5792,1.5249,1.6777,1.5096,1.6183,361666732,344817771,0.0391,2.4731,0.9534,34.1759,0.8915,0.8915,
502048.SH,易方达上证50分级,2015-07-08,1.6183,1.457,1.5283,1.457,1.457,160975556,138194002,-0.1613,-9.9685,0.8585,15.2115,0.843,0.843,
502048.SH,易方达上证50分级,2015-07-09,1.457,1.3109,1.5911,1.3109,1.5079,546005310,475857686,0.0509,3.4965,0.8715,51.5951,0.8891,0.8891,
502048.SH,易方达上证50分级,2015-07-10,1.5079,1.4858,1.5979,1.4434,1.5385,581377057,528247373,0.0306,2.027,0.9086,54.9376,0.9205,0.9205,
502048.SH,易方达上证50分级,2015-07-13,1.5385,1.5113,1.5537,1.4705,1.5334,414845842,371896637,-0.0051,-0.3311,0.8965,39.2011,0.9101,0.9101,
502048.SH,易方达上证50分级,2015-07-14,1.5334,1.5079,1.5096,1.4536,1.479,248347622,216895279,-0.0543,-3.5437,0.8734,23.4678,0.8748,0.8748,
502048.SH,易方达上证50分级,2015-07-15,1.479,1.4621,1.5028,1.4145,1.4654,280542310,240452360,-0.0136,-0.9185,0.8571,26.51,0.8725,0.8725,
502048.SH,易方达上证50分级,2015-07-16,1.4654,1.4553,1.4807,1.4196,1.4621,277253983,237839582,-0.0034,-0.2317,0.8578,26.1993,0.8679,0.8679,
502048.SH,易方达上证50分级,2015-07-17,1.4621,1.4621,1.5164,1.4519,1.496,209763910,183085431,0.034,2.3229,0.8728,19.8218,0.888,0.888,
502048.SH,易方达上证50分级,2015-07-20,1.496,1.4909,1.4977,1.4621,1.4858,253538693,220883955,-0.0102,-0.681,0.8712,23.9583,0.8806,0.8806,
502048.SH,易方达上证50分级,2015-07-21,1.4858,1.4705,1.4926,1.4604,1.479,177409386,154397221,-0.0068,-0.4571,0.8703,16.7644,0.8768,0.8768,
502048.SH,易方达上证50分级,2015-07-22,1.479,1.4756,1.4807,1.4536,1.4637,114073204,98398745,-0.0153,-1.0333,0.8626,10.7794,0.8674,0.8674,
502048.SH,易方达上证50分级,2015-07-23,1.4637,1.4587,1.4926,1.457,1.4892,140265345,122367197,0.0255,1.7401,0.8724,13.2545,0.8827,0.8827,
502048.SH,易方达上证50分级,2015-07-24,1.4892,1.4807,1.5062,1.4621,1.4654,118654017,103559138,-0.0238,-1.5964,0.8728,11.2123,0.8678,0.8678,
502048.SH,易方达上证50分级,2015-07-27,1.4654,1.4519,1.4536,1.3398,1.3449,78809863,65854580,-0.1206,-8.2271,0.8356,7.4472,0.7936,0.7936,
502048.SH,易方达上证50分级,2015-07-28,1.3449,1.3092,1.3687,1.3092,1.3347,133381906,104863807,-0.0102,-0.7576,0.7862,12.604,0.7913,0.7913,
502048.SH,易方达上证50分级,2015-07-29,1.3347,1.3364,1.3619,1.3092,1.3585,124281098,97448782,0.0238,1.7812,0.7841,11.744,0.8051,0.8051,
502048.SH,易方达上证50分级,2015-07-30,1.3585,1.3466,1.3636,1.3245,1.3262,69174504,55007850,-0.0323,-2.375,0.7952,6.5367,0.7856,0.7856,
502048.SH,易方达上证50分级,2015-07-31,1.3262,1.3177,1.3364,1.3075,1.3211,67177989,52143931,-0.0051,-0.3841,0.7762,6.348,0.7837,0.7837,
502048.SH,易方达上证50分级,2015-08-03,1.3211,1.299,1.333,1.2854,1.3313,68045657,52599242,0.0102,0.7712,0.773,6.43,0.789,0.789,
502048.SH,易方达上证50分级,2015-08-04,1.3313,1.3296,1.3619,1.3245,1.3619,34220372,27121528,0.0306,2.2959,0.7926,3.2337,0.8056,0.8056,
502048.SH,易方达上证50分级,2015-08-05,1.3619,1.3585,1.3585,1.3347,1.3364,45153566,35851687,-0.0255,-1.8703,0.794,4.2668,0.7912,0.7912,
502048.SH,易方达上证50分级,2015-08-06,1.3364,1.3262,1.3483,1.316,1.3279,30003703,23562639,-0.0085,-0.6353,0.7853,2.8352,0.7853,0.7853,
502048.SH,易方达上证50分级,2015-08-07,1.3279,1.3313,1.3534,1.3313,1.3415,33473379,26496737,0.0136,1.023,0.7916,3.1631,0.7962,0.7962,
502048.SH,易方达上证50分级,2015-08-10,1.3415,1.35,1.4111,1.3483,1.4026,76741250,62843919,0.0611,4.557,0.8189,7.2517,0.8304,0.8304,
502048.SH,易方达上证50分级,2015-08-11,1.4026,1.4026,1.4077,1.3771,1.389,30227286,24801111,-0.0136,-0.9685,0.8205,2.8563,0.8222,0.8222,
502048.SH,易方达上证50分级,2015-08-12,1.389,1.3788,1.3958,1.3636,1.3754,16884767,13765242,-0.0136,-0.978,0.8152,1.5955,0.8132,0.8132,
502048.SH,易方达上证50分级,2015-08-13,1.3754,1.3754,1.3873,1.3517,1.3839,33675933,27185502,0.0085,0.6173,0.8073,3.1822,0.8191,0.8191,
502048.SH,易方达上证50分级,2015-08-14,1.3839,1.3856,1.3907,1.3687,1.3822,34383911,27957990,-0.0017,-0.1227,0.8131,3.2491,0.8183,0.8183,
502048.SH,易方达上证50分级,2015-08-17,1.3822,1.3754,1.3754,1.3466,1.3687,18618042,14926331,-0.0136,-0.9828,0.8017,1.7593,0.81,0.81,
502048.SH,易方达上证50分级,2015-08-18,1.3687,1.3687,1.3754,1.2956,1.299,18757352,14926193,-0.0696,-5.0868,0.7958,1.7725,0.7673,0.7673,
502048.SH,易方达上证50分级,2015-08-19,1.299,1.299,1.3092,1.2668,1.3058,22301350,17006973,0.0068,0.5229,0.7626,2.1074,0.774,0.774,
502048.SH,易方达上证50分级,2015-08-20,1.3058,1.3024,1.3041,1.2804,1.2804,11446052,8728528,-0.0255,-1.9506,0.7626,1.0816,0.7519,0.7519,
502048.SH,易方达上证50分级,2015-08-21,1.2804,1.2736,1.2838,1.2226,1.2379,16230982,12058157,-0.0425,-3.3156,0.7429,1.5338,0.7261,0.7261,
502048.SH,易方达上证50分级,2015-08-24,1.2379,1.2226,1.2226,1.1139,1.1156,26955200,18661745,-0.1223,-9.8765,0.6923,2.5471,0.6624,0.6624,
502048.SH,易方达上证50分级,2015-08-25,1.1156,1.063,1.1156,1.0256,1.0392,58761321,36466090,-0.0764,-6.8493,0.6206,5.5527,0.6192,0.6192,
502048.SH,易方达上证50分级,2015-08-26,1.0392,1.0409,1.1105,1.0273,1.063,15728349,9883723,0.0238,2.2876,0.6284,1.2516,1,0.6275,
502048.SH,易方达上证50分级,2015-08-27,1.063,1.063,1.063,1.063,1.063,--,--,0,0,--,--,1.0623,0.6665,
502048.SH,易方达上证50分级,2015-08-28,1.063,1.059,1.087,1.037,1.084,169660236,180355919,0.021,1.9755,1.063,13.5008,1.0866,0.6818,
502048.SH,易方达上证50分级,2015-08-31,1.084,1.062,1.099,1.036,1.094,68962378,73078726,0.01,0.9225,1.0597,5.4877,1.1066,0.6943,
502048.SH,易方达上证50分级,2015-09-01,1.094,1.084,1.112,1.05,1.106,73152630,79428752,0.012,1.0969,1.0858,5.8212,1.1127,0.6982,
502048.SH,易方达上证50分级,2015-09-02,1.106,1.075,1.115,1.069,1.109,53688051,58790937,0.003,0.2712,1.095,4.2723,1.1177,0.7013,
502048.SH,易方达上证50分级,2015-09-07,1.109,1.106,1.106,1.057,1.069,19150623,20778392,-0.04,-3.6069,1.085,1.5239,1.0649,0.6682,
502048.SH,易方达上证50分级,2015-09-08,1.069,1.062,1.084,1.033,1.08,21906541,23377898,0.011,1.029,1.0672,1.7432,1.0866,0.6818,
502048.SH,易方达上证50分级,2015-09-09,1.08,1.081,1.099,1.078,1.094,24318364,26548062,0.014,1.2963,1.0917,1.9352,1.1018,0.6913,
502048.SH,易方达上证50分级,2015-09-10,1.094,1.082,1.098,1.082,1.094,32155472,35030099,0,0,1.0894,2.5588,1.1003,0.6904,
502048.SH,易方达上证50分级,2015-09-11,1.094,1.094,1.099,1.081,1.087,17992121,19638175,-0.007,-0.6399,1.0915,1.4317,1.0941,0.6865,
502048.SH,易方达上证50分级,2015-09-14,1.087,1.09,1.122,1.051,1.101,28752664,31099486,0.014,1.2879,1.0816,2.288,1.1094,0.6961,
502048.SH,易方达上证50分级,2015-09-15,1.101,1.091,1.091,1.066,1.079,34393011,36993744,-0.022,-1.9982,1.0756,2.7368,1.0832,0.6797,
502048.SH,易方达上证50分级,2015-09-16,1.079,1.077,1.131,1.061,1.112,52207287,56286262,0.033,3.0584,1.0781,4.1544,1.1144,0.6992,
502048.SH,易方达上证50分级,2015-09-17,1.112,1.111,1.119,1.085,1.085,19814974,21924161,-0.027,-2.4281,1.1064,1.5768,1.0922,0.6853,
502048.SH,易方达上证50分级,2015-09-18,1.085,1.086,1.102,1.085,1.091,13459140,14708133,0.006,0.553,1.0928,1.071,1.0943,0.6866,
502048.SH,易方达上证50分级,2015-09-21,1.091,1.084,1.099,1.08,1.097,8333025,9089146,0.006,0.55,1.0907,0.6631,1.1015,0.6911,
502048.SH,易方达上证50分级,2015-09-22,1.097,1.094,1.118,1.094,1.107,8979441,9958889,0.01,0.9116,1.1091,0.7145,1.1122,0.6979,
502048.SH,易方达上证50分级,2015-09-23,1.107,1.102,1.102,1.08,1.081,4330528,4713308,-0.026,-2.3487,1.0884,0.3446,1.0848,0.6807,
502048.SH,易方达上证50分级,2015-09-24,1.081,1.082,1.09,1.08,1.083,5144661,5584733,0.002,0.185,1.0855,0.4094,1.0892,0.6834,
502048.SH,易方达上证50分级,2015-09-25,1.083,1.08,1.085,1.066,1.079,9051229,9742942,-0.004,-0.3693,1.0764,0.7203,1.087,0.682,
502048.SH,易方达上证50分级,2015-09-28,1.079,1.08,1.08,1.065,1.076,2299596,2466999,-0.003,-0.278,1.0728,0.183,1.0804,0.6779,
502048.SH,易方达上证50分级,2015-09-29,1.076,1.067,1.069,1.056,1.059,1778293,1885015,-0.017,-1.5799,1.06,0.1415,1.0602,0.6652,
502048.SH,易方达上证50分级,2015-09-30,1.059,1.064,1.075,1.061,1.062,1489293,1591180,0.003,0.2833,1.0684,0.2984,1.0691,0.6708,
502048.SH,易方达上证50分级,2015-10-08,1.062,1.1,1.1,1.084,1.085,7035245,7692703,0.023,2.1657,1.0935,1.4095,1.0901,0.684,
502048.SH,易方达上证50分级,2015-10-09,1.085,1.086,1.098,1.085,1.098,7091018,7765841,0.013,1.1982,1.0952,1.4206,1.1032,0.6922,
502048.SH,易方达上证50分级,2015-10-12,1.098,1.098,1.14,1.098,1.13,9217593,10322990,0.032,2.9144,1.1199,1.8467,1.1343,0.7117,
502048.SH,易方达上证50分级,2015-10-13,1.13,1.123,1.127,1.118,1.122,6508951,7302099,-0.008,-0.708,1.1219,1.304,1.1284,0.708,
502048.SH,易方达上证50分级,2015-10-14,1.122,1.119,1.13,1.113,1.114,5260577,5892800,-0.008,-0.713,1.1202,1.0539,1.1197,0.7026,
502048.SH,易方达上证50分级,2015-10-15,1.114,1.116,1.138,1.114,1.134,8762425,9879675,0.02,1.7953,1.1275,1.7555,1.1415,0.7162,
502048.SH,易方达上证50分级,2015-10-16,1.134,1.139,1.152,1.136,1.148,17296495,19776008,0.014,1.2346,1.1434,3.4652,1.1556,0.7251,
502048.SH,易方达上证50分级,2015-10-19,1.148,1.149,1.159,1.14,1.147,3387795,3899163,-0.001,-0.0871,1.1509,0.6787,1.1552,0.7248,
502048.SH,易方达上证50分级,2015-10-20,1.147,1.146,1.157,1.139,1.156,4435009,5087920,0.009,0.7847,1.1472,0.8885,1.164,0.7304,
502048.SH,易方达上证50分级,2015-10-21,1.156,1.153,1.253,1.136,1.148,5037608,5886302,-0.008,-0.692,1.1685,1.0093,1.1637,0.7302,
502048.SH,易方达上证50分级,2015-10-22,1.148,1.135,1.157,1.135,1.157,3328311,3827700,0.009,0.784,1.15,0.6668,1.16,0.7278,
502048.SH,易方达上证50分级,2015-10-23,1.157,1.153,1.17,1.147,1.167,3326275,3855692,0.01,0.8643,1.1592,0.6664,1.1668,0.7321,
502048.SH,易方达上证50分级,2015-10-26,1.167,1.17,1.189,1.165,1.166,1921279,2263206,-0.001,-0.0857,1.178,0.3849,1.168,0.7329,
502048.SH,易方达上证50分级,2015-10-27,1.166,1.142,1.164,1.142,1.159,1053244,1215766,-0.007,-0.6003,1.1543,0.211,1.1679,0.7328,
502048.SH,易方达上证50分级,2015-10-28,1.159,1.153,1.159,1.136,1.144,727169,835922,-0.015,-1.2942,1.1496,0.1457,1.1488,0.7208,
502048.SH,易方达上证50分级,2015-10-29,1.144,1.148,1.15,1.141,1.142,1444085,1652278,-0.002,-0.1748,1.1442,0.2893,1.1474,0.7199,
502048.SH,易方达上证50分级,2015-10-30,1.142,1.142,1.158,1.136,1.144,2220492,2547952,0.002,0.1751,1.1475,0.4449,1.15,0.7216,
502048.SH,易方达上证50分级,2015-11-02,1.144,1.14,1.143,1.12,1.128,1591444,1799525,-0.016,-1.3986,1.1307,0.3188,1.1335,0.7112,
502048.SH,易方达上证50分级,2015-11-03,1.128,1.116,1.131,1.116,1.125,1715727,1936070,-0.003,-0.266,1.1284,0.3437,1.1296,0.7088,
